Formation,Age (mya),Age (gya),Lithology,d13C carb,# samples,Abbreviated reference,Full reference source
HAYES 1999 Jurassic-Cambrian,215,0.215,,1.76,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,210,0.21,,1.72,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,205,0.205,,1.71,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,200,0.2,,1.57,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,195,0.195,,1.68,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,190,0.19,,1.84,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,185,0.185,,1.79,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,180,0.18,,2.09,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,175,0.175,,1.49,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,170,0.17,,0.84,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,165,0.165,,2.33,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,160,0.16,,2.09,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,155,0.155,,1.68,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,150,0.15,,1.63,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,145,0.145,,0.86,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,140,0.14,,0.76,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,143.2,0.1432,,0.80,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,137.9,0.1379,,1.10,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,133.4,0.1334,,1.50,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,128.2,0.1282,,2.00,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,118.3,0.1183,,3.10,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,104.5,0.1045,,2.30,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,93.7,0.0937,,1.50,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,89.5,0.0895,,1.90,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,87.6,0.0876,,1.10,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,84.8,0.0848,,1.70,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,78.5,0.0785,,1.50,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,69.5,0.0695,,1.90,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,63.0,0.063,,2.20,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,57.9,0.0579,,3.10,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,51.9,0.0519,,2.05,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,43.0,0.043,,2.20,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,35.3,0.0353,,2.15,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,31.1,0.0311,,2.30,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,26.2,0.0262,,2.10,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,20.1,0.0201,,2.45,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,13.8,0.0138,,1.95,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,8.3,0.0083,,1.50,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,3.5,0.0035,,0.85,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Cretaceous-Cenozoic,0.9,0.0009,,0.15,,Hayes et al. (1999) Chem. Geo.,RefList
